puma_geoid,county_geoid,inter_pop,puma_pop,w
0100100,01033,54428,186695,0.2915343206834677
0100100,01059,31704,186695,0.16981708133586867
0100100,01077,92709,186695,0.4965799833953775
0100100,01093,7854,186695,0.042068614585286164
0100200,01083,82782,171821,0.4817920975899337
0100200,01089,89039,171821,0.5182079024100663
0100301,01089,118924,118924,1
0100302,01089,101522,101522,1
0100400,01049,71109,124336,0.5719099858448076
0100400,01071,53227,124336,0.4280900141551924
0100500,01089,25326,118345,0.21400143647809372
0100500,01095,93019,118345,0.7859985635219063
0100600,01079,34339,153829,0.22322838996548114
0100600,01103,119490,153829,0.7767716100345189
0100700,01043,80406,104890,0.7665745066259891
0100700,01133,24484,104890,0.23342549337401086
0100800,01009,57322,140915,0.4067842316289962
0100800,01115,83593,140915,0.5932157683710038
0100900,01055,104430,104430,1
0101000,01019,25989,160097,0.16233283571834575
0101000,01027,13932,160097,0.08702224276532353
0101000,01029,14972,160097,0.09351830452787997
0101000,01111,22913,160097,0.1431194838129384
0101000,01121,82291,160097,0.5140071331755124
0101100,01015,118572,118572,1
0101200,01117,195085,195085,1
0101301,01073,100833,100833,1
0101302,01073,102098,102098,1
0101303,01073,170145,170145,1
0101304,01073,174673,174673,1
0101305,01073,110717,110717,1
0101400,01057,17241,121750,0.14160985626283368
0101400,01075,14564,121750,0.11962217659137576
0101400,01093,22922,121750,0.1882710472279261
0101400,01127,67023,121750,0.5504969199178644
0101500,01107,19746,103773,0.19028070885490445
0101500,01125,84027,103773,0.8097192911450956
0101600,01125,110629,110629,1
0101700,01007,22915,136921,0.16735928016885648
0101700,01047,43820,136921,0.32003856238268785
0101700,01063,9045,136921,0.06605999079761322
0101700,01065,15760,136921,0.11510286953790873
0101700,01091,21027,136921,0.15357030696533036
0101700,01105,10591,136921,0.07735117330431417
0101700,01119,13763,136921,0.1005178168432892
0101800,01017,34215,131013,0.2611572897346065
0101800,01021,43643,131013,0.3331196140840985
0101800,01037,11539,131013,0.08807522917573066
0101800,01123,41616,131013,0.31764786700556435
0101900,01081,140247,140247,1
0102000,01101,196534,196534,1
0102100,01001,54571,178002,0.30657520702014585
0102100,01051,79303,178002,0.44551746609588655
0102100,01085,11299,178002,0.06347681486724868
0102100,01101,32829,178002,0.18443051201671892
0102200,01023,13859,143558,0.09653937781245212
0102200,01025,25833,143558,0.1799481742570947
