puma_geoid,cluster,cluster_label
0100100,3,Persistently Depressed
0100200,3,Persistently Depressed
0100301,1,Below-Average Recovery
0100302,3,Persistently Depressed
0100400,3,Persistently Depressed
0100500,3,Persistently Depressed
0100600,3,Persistently Depressed
0100700,3,Persistently Depressed
0100800,3,Persistently Depressed
0100900,3,Persistently Depressed
0101000,3,Persistently Depressed
0101100,3,Persistently Depressed
0101200,1,Below-Average Recovery
0101301,3,Persistently Depressed
0101302,3,Persistently Depressed
0101303,1,Below-Average Recovery
0101304,3,Persistently Depressed
0101305,3,Persistently Depressed
0101400,3,Persistently Depressed
0101500,3,Persistently Depressed
0101600,3,Persistently Depressed
0101700,3,Persistently Depressed
0101800,3,Persistently Depressed
0101900,3,Persistently Depressed
0102000,3,Persistently Depressed
0102100,3,Persistently Depressed
0102200,3,Persistently Depressed
0102300,3,Persistently Depressed
0102400,3,Persistently Depressed
0102500,3,Persistently Depressed
0102600,3,Persistently Depressed
0102701,3,Persistently Depressed
0102702,3,Persistently Depressed
0102703,3,Persistently Depressed
0200101,1,Below-Average Recovery
0200102,1,Below-Average Recovery
0200200,3,Persistently Depressed
0200300,3,Persistently Depressed
0200400,3,Persistently Depressed
0400100,2,Boom Markets
0400101,2,Boom Markets
0400102,2,Boom Markets
0400103,2,Boom Markets
0400104,2,Boom Markets
0400105,2,Boom Markets
0400106,2,Boom Markets
0400107,2,Boom Markets
0400108,2,Boom Markets
0400109,2,Boom Markets
0400110,2,Boom Markets
0400111,4,Above-Average Recovery
0400112,4,Above-Average Recovery
0400113,2,Boom Markets
0400114,2,Boom Markets
0400115,2,Boom Markets
0400116,2,Boom Markets
0400117,2,Boom Markets
0400118,2,Boom Markets
0400119,2,Boom Markets
0400120,1,Below-Average Recovery
0400121,2,Boom Markets
0400122,2,Boom Markets
0400123,2,Boom Markets
0400124,2,Boom Markets
0400125,2,Boom Markets
0400126,2,Boom Markets
0400127,2,Boom Markets
0400128,2,Boom Markets
0400129,2,Boom Markets
0400130,3,Persistently Depressed
0400131,2,Boom Markets
0400132,2,Boom Markets
0400133,2,Boom Markets
0400134,2,Boom Markets
0400201,3,Persistently Depressed
0400202,3,Persistently Depressed
0400203,1,Below-Average Recovery
0400204,1,Below-Average Recovery
0400205,1,Below-Average Recovery
0400206,3,Persistently Depressed
0400207,3,Persistently Depressed
0400208,3,Persistently Depressed
0400209,3,Persistently Depressed
0400300,3,Persistently Depressed
0400400,2,Boom Markets
0400500,3,Persistently Depressed
0400600,3,Persistently Depressed
0400700,3,Persistently Depressed
0400800,3,Persistently Depressed
0400803,2,Boom Markets
0400805,2,Boom Markets
0400807,2,Boom Markets
0400900,3,Persistently Depressed
0500100,1,Below-Average Recovery
0500200,3,Persistently Depressed
0500300,3,Persistently Depressed
0500400,3,Persistently Depressed
0500500,3,Persistently Depressed
0500600,3,Persistently Depressed
