puma_geoid,risk_score,sovi_score,resl_score,nri_pop,nri_tracts
0100100,75.36961076520737,64.40456919572385,43.95748208610882,189860,55
0100200,65.48972653532039,39.046895876481464,71.66878456363021,208711,46
0100301,55.08787042980767,36.41318722029706,75.95071673972278,136169,34
0100302,61.11693136496652,51.681714538670015,75.95071673972278,107967,31
0100400,71.06082026955865,70.33787985452203,15.295372585038862,123880,37
0100500,77.63054208446434,62.27896559721591,42.37946144103665,133583,33
0100600,74.97898987760836,61.69150503297,34.929230119964835,156361,42
0100700,68.84495440455592,72.01281296247838,24.80698576998149,111138,30
0100800,54.925253215347425,55.00469792479235,24.855999213632238,149891,40
0100900,65.2460743472263,68.25322490587958,44.358488330766505,103320,33
0101000,68.05548658278074,73.12356364530076,25.12507963413576,158105,46
0101100,66.2958618191406,70.61148308430232,37.6365359554555,116250,37
0101200,63.911230118555515,37.166590851030755,64.98282194052841,222782,55
0101301,54.51180845796058,84.01779366981086,72.2603956877147,87230,33
0101302,52.585511631092736,65.52846589169927,72.26039568771472,99799,34
0101303,56.72986303829426,32.4656216023422,72.26039568771468,184719,45
0101304,46.39977906092476,47.06216608080876,72.26039568771469,183818,45
0101305,51.65359245020866,53.52057745849208,72.26039568771469,118200,32
0101400,72.95388165284344,72.685793961939,18.372244217304594,117597,37
0101500,58.11641823066922,51.815190889689,54.194481739718384,124999,30
0101600,52.42234922123818,62.12164546068353,60.79374481696479,120797,35
0101700,61.42195244013943,82.48658703391425,27.20892955655452,123140,53
0101800,59.622400045493,67.2739258644614,28.56949777673095,131336,36
0101900,33.19482872769445,51.442091211506416,40.1942897760929,173871,48
0102000,49.83733512403594,59.91255132176459,61.15981518777399,196453,59
0102100,52.13346972356933,57.66924085569916,47.55539044988073,189220,53
0102200,78.64656310276978,77.86146201402565,24.09883864301533,129582,47
0102300,75.62952629869775,69.21153895373752,32.42944027731502,123104,45
0102400,39.91231986273232,72.4950999711935,23.784934853640138,147073,54
0102500,73.39017033628602,70.52829292690717,45.335892020116155,200044,52
0102600,94.72441905261465,53.571744234566964,88.92311337519249,231365,43
0102701,64.65851659238396,68.92132233605066,71.3541049638668,98974,48
0102702,69.03049956131292,47.897678954191456,71.3541049638668,110624,34
0102703,78.5716152017712,50.98935832402593,71.35410496386682,204916,52
0200101,94.705237708343,36.736331033945184,28.125814476957697,131758,30
0200102,88.14284950182838,25.72226678480125,28.125814476957704,159227,31
0200200,98.55833084953984,47.07218263256017,1.642783725138937,165731,38
0200300,78.2700867588699,42.874783253863825,30.012818094576463,162927,41
0200400,84.00006563402259,80.29111058127337,18.792601434640922,112076,37
0400100,68.93741354238628,13.231066491262881,17.5299135173558,179537,40
0400101,70.74146509216304,42.49166674744607,17.529913517355798,185870,42
0400102,61.82021592186674,34.6413455661028,17.529913517355798,143970,35
0400103,69.12702477457292,56.265871855922946,17.529913517355798,114776,27
0400104,73.09390877884657,53.65063313748618,17.5299135173558,106626,26
0400105,63.077871608641665,17.20303076825288,17.5299135173558,152752,33
0400106,66.87270449783749,44.72177547295915,17.529913517355798,122710,26
0400107,74.645440344571,29.83115637347291,17.529913517355805,128088,27
