puma_geoid,state_fips,puma_code,puma_name
0102200,01,02200,Southwest Alabama PUMA
0101700,01,01700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA"
0101500,01,01500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA
0101400,01,01400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA"
0100100,01,00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA"
0100200,01,00200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA
0100400,01,00400,DeKalb & Jackson Counties PUMA
0101000,01,01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA"
0101800,01,01800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA"
0101900,01,01900,Lee County--Auburn City PUMA
0102400,01,02400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA"
0102500,01,02500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA"
0102300,01,02300,"Coffee, Covington, Butler & Crenshaw Counties PUMA"
0102600,01,02600,Baldwin County PUMA
0102703,01,02703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA"
0100600,01,00600,Morgan & Lawrence Counties--Decatur City PUMA
0101100,01,01100,Calhoun County PUMA
0102701,01,02701,Mobile City (East) PUMA
0101600,01,01600,Tuscaloosa & Northport (Southeast) Cities PUMA
0100700,01,00700,Cullman & Winston Counties PUMA
0100301,01,00301,Huntsville (North) & Madison (East) Cities PUMA
0100302,01,00302,Huntsville City (Central & South) PUMA
0100500,01,00500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA
0100900,01,00900,Etowah County PUMA
0102702,01,02702,Mobile City (West) PUMA
0101305,01,01305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA"
0102100,01,02100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA"
0102000,01,02000,Montgomery City & Pike Road Town (North) PUMA
0101200,01,01200,Shelby County PUMA
0101304,01,01304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA"
0100800,01,00800,St. Clair & Blount Counties PUMA
0101303,01,01303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA"
0101301,01,01301,Birmingham City (West) PUMA
0101302,01,01302,Birmingham City (East) PUMA
0200400,02,00400,Subsistence Alaska PUMA
0200300,02,00300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA"
0200200,02,00200,Matanuska-Susitna & Kenai Peninsula Boroughs PUMA
0200101,02,00101,Anchorage Municipality (North) PUMA
0200102,02,00102,Anchorage Municipality (South) PUMA
0400127,04,00127,Maricopa County--Peoria City (South & Central) PUMA
0400126,04,00126,Maricopa County--Glendale City (North) PUMA
0400128,04,00128,Phoenix City (North) PUMA
0400110,04,00110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA
0400109,04,00109,Maricopa County--Tempe City (North) PUMA
0400106,04,00106,Maricopa County--Chandler City (Northeast) PUMA
0400119,04,00119,Phoenix City (South) PUMA
0400123,04,00123,Phoenix City--Maryvale (West) PUMA
0400105,04,00105,Maricopa County--Gilbert Town (North) PUMA
0400115,04,00115,Phoenix City (Northwest Central) PUMA
0400114,04,00114,Phoenix City (Northeast Central) PUMA
0400113,04,00113,Phoenix City (Northeast) PUMA
0400117,04,00117,Phoenix City (East) PUMA
0400118,04,00118,Phoenix City--Downtown & Sky Harbor International Airport PUMA
0400103,04,00103,Maricopa County--Mesa City (West) PUMA
0400104,04,00104,Maricopa County--Mesa City (South Central) PUMA
0400122,04,00122,Phoenix City--Maryvale (East) PUMA
0400116,04,00116,Phoenix City (Uptown) PUMA
0400125,04,00125,Phoenix City (West) PUMA
0400132,04,00132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA"
0400131,04,00131,Maricopa County--Surprise City (Central) PUMA
0400130,04,00130,Maricopa County--El Mirage City & Sun City PUMA
0400129,04,00129,Phoenix (Far North) & Peoria (Northwest) Cities PUMA
0400111,04,00111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA
0400206,04,00206,Tucson City (Northeast) PUMA
