puma_geoid,STATEFIP,mean_val_2007,mean_val_2009,mean_val_2019,mean_val_2021,med_val_2007,med_val_2009,med_val_2019,med_val_2021,med_inc_2007,med_inc_2009,med_inc_2019,med_inc_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07,decimated
0100100,1,138791.69121370913,136981.66208659223,171128.22138256807,186512.79441885496,112500,100000,130000,150000,55000,56000,70060,70000,1101,1112,1364,1335,-1.3041336345774794,8.990085277573064,34.38325651041003,47721.10320514583,1,FALSE
0100200,1,196790.54604684835,203902.49884579872,231003.1214694772,286132.92628232425,137500,150000,200000,230000,73500,80100,97000,103000,999,1033,1255,1058,3.6139707632384352,23.86539387959372,45.39973186222415,89342.3802354759,1,FALSE
0100400,1,103051.99203417893,117648.46254355401,138265.59293066122,152717.33143342947,85000,85000,120000,123000,44000,45000,64400,63000,1106,1099,1178,1192,14.164180838478035,10.452158195289876,48.19444866507597,49665.339399250544,1,FALSE
0100500,1,124893.18330658568,141396.8058692433,192241.4344943846,246368.96431859603,95000,99000,155000,220000,51200,51800,71600,88000,1407,1416,1531,1604,13.21419001879776,28.15601640019624,97.26373993832286,121475.78101201035,1,FALSE
0100600,1,133432.6808122683,133404.0469726025,171029.8101064394,212540.48308143066,112500,101000,150000,184000,56000,56250,79200,81600,1215,1152,1197,1118,-0.021459390226979593,24.2710162334609,59.28667683778476,79107.80226916235,1,FALSE
0100700,1,99764.20798065304,88039.660646615,180357.776220735,190508.42867626713,75000,70000,120000,150000,45800,44500,61000,75000,1030,1000,961,1009,-11.752258221016247,5.628064765618439,90.9586940370557,90744.22069561409,1,TRUE
0100800,1,130567.38939770816,138338.97801430704,176597.50525450046,204624.17245930486,112500,113000,160000,167000,52000,54700,83000,73800,1664,1674,1090,1090,5.95216665696411,15.870364173273144,56.71920331961283,74056.7830615967,1,FALSE
0101000,1,117897.57717807936,132512.00887612576,144671.8881219701,161950.17847897724,112500,100000,113000,114000,50700,51200,63000,56100,906,872,1177,1171,12.395871100872512,11.943087617989836,37.36514554014818,44052.60130089788,1,FALSE
0101100,1,116354.0547976817,114720.13608392746,165839.30630725078,161571.58682074872,85000,90000,130000,139000,51800,52600,80800,68860,1168,1205,686,724,-1.4042645239956018,-2.573406499057133,38.86201654226145,45217.53202306702,1,FALSE
0101200,1,113658.04185425221,134714.96790601913,285258.84885298106,312641.39003707335,95000,100000,225000,285000,51000,58200,97700,107700,851,863,1719,1883,18.52656064475312,9.599190803088783,175.07194821989333,198983.34818282112,1,FALSE
0101400,1,188160.45941220984,186598.0383669454,124302.87090862753,132741.69206916488,162500,150000,105000,100000,67000,67050,61900,70000,1309,1260,974,960,-0.8303663002020958,6.788918951631096,-29.452929439142725,-55418.76734304495,0,FALSE
0101500,1,107029.86027008374,101679.42413702174,186316.24600838876,241445.5436464722,75000,80000,172000,200000,45000,46500,72900,82600,810,838,912,1001,-4.9990125368383005,29.589098545706673,125.58708666646687,134415.68337638845,1,FALSE
0101600,1,127260.22055000147,138882.51001348085,243747.81619556586,238247.58739203183,95000,85000,175000,200000,49000,48000,78100,85000,1159,1053,406,381,9.132696307808844,-2.2565243411744214,87.21292982391353,110987.36684203036,1,FALSE
