puma_geoid,STATEFIP,med_value_2012,med_value_2021,med_inc_2012,med_inc_2021,n_hh_2012,n_hh_2021,real_value_2012,recovery_index,pct_change_real,recovery_q,depressed
0100100,1,100000,148000,50000,56510,574,586,118021.37686524911,1.2540101118204965,25.40101118204965,2,FALSE
0100200,1,146000,200000,69160,90000,391,432,172311.2102232637,1.1606905885047172,16.06905885047172,2,FALSE
0100301,1,148000,220000,72000,92500,290,331,174671.6377605687,1.2595061386071458,25.950613860714576,2,FALSE
0100302,1,180000,250000,71000,98020,316,347,212438.47835744842,1.1768112911228383,17.681129112283834,2,FALSE
0100400,1,100000,120000,42000,54000,418,517,118021.37686524911,1.0167649555301324,1.6764955530132353,1,TRUE
0100500,1,125000,200000,54300,70000,570,685,147526.7210815614,1.3556866073735097,35.56866073735097,3,FALSE
0100600,1,100000,170000,51300,69600,468,477,118021.37686524911,1.440417020334354,44.041702033435406,3,FALSE
0100700,1,100000,150000,40000,65500,349,408,118021.37686524911,1.2709561944126655,27.09561944126655,2,FALSE
0100800,1,130000,155000,55000,56900,376,445,153427.78992482385,1.0102472314562212,1.0247231456221195,1,TRUE
0100900,1,90000,145000,48000,50000,295,326,106219.23917872421,1.3651010977024924,36.510109770249244,3,FALSE
0101000,1,90000,114000,42000,50000,526,526,106219.23917872421,1.0732518975040284,7.3251897504028385,1,TRUE
0101100,1,100000,125000,46000,56000,313,310,118021.37686524911,1.0591301620105544,5.913016201055443,1,TRUE
0101200,1,188000,260000,76400,92100,594,726,221880.18850666835,1.171803583501039,17.180358350103898,2,FALSE
0101301,1,70000,90000,34500,44000,234,200,82614.96380567439,1.0893910237822846,8.939102378228458,1,TRUE
0101302,1,90000,150000,44200,60000,205,214,106219.23917872421,1.412173549347406,41.21735493474059,3,FALSE
0101303,1,250000,325000,92000,112000,384,491,295053.4421631228,1.1014953684909765,10.14953684909765,1,TRUE
0101304,1,130000,160000,57200,63100,492,456,153427.78992482385,1.0428358518257768,4.283585182577676,1,TRUE
0101305,1,130000,175000,55000,70000,306,323,153427.78992482385,1.1406017129344432,14.060171293444323,1,TRUE
0101400,1,85000,100000,40000,54000,438,415,100318.17033546175,0.9968283877746394,-0.3171612225360554,1,TRUE
0101500,1,150000,200000,47001,71600,359,399,177032.06529787366,1.1297388394779249,12.973883947792487,1,TRUE
0101600,1,135000,175000,44000,67500,185,175,159328.8587680863,1.0983572050479824,9.835720504798239,1,TRUE
0101700,1,85000,89000,36000,39500,426,390,100318.17033546175,0.8871772651194292,-11.282273488057083,1,TRUE
0101800,1,85000,140000,39700,56400,378,406,100318.17033546175,1.3955597428844952,39.55597428844953,3,FALSE
0101900,1,150000,200000,60200,72000,264,323,177032.06529787366,1.1297388394779249,12.973883947792487,1,TRUE
0102000,1,102000,145000,60000,61000,448,453,120381.8044025541,1.2045009685610226,20.450096856102263,2,FALSE
0102100,1,129000,175000,53400,67400,499,521,152247.57615617136,1.1494435866781212,14.944358667812118,2,FALSE
0102200,1,75000,120000,37000,42000,512,507,88516.03264893683,1.3556866073735099,35.56866073735099,3,FALSE
0102300,1,100000,129000,49000,56600,636,719,118021.37686524911,1.0930223271948922,9.302232719489222,1,TRUE
0102400,1,90000,120000,43600,53000,489,446,106219.23917872421,1.1297388394779246,12.973883947792464,1,TRUE
0102500,1,95000,150000,50600,60300,1341,1264,112120.30802198667,1.3378486256975424,33.78486256975424,3,FALSE
0102600,1,150000,250000,55400,75300,408,528,177032.06529787366,1.4121735493474061,41.21735493474061,3,FALSE
0102701,1,80000,105000,36000,50000,319,290,94417.10149219929,1.1120866701110823,11.208667011108231,1,TRUE
0102702,1,139000,180000,57000,63400,254,293,164049.71384269628,1.0972283692771212,9.72283692771212,1,TRUE
0102703,1,130000,170000,60000,61200,426,472,153427.78992482385,1.1080130925648877,10.801309256488768,1,TRUE
0200101,2,265000,300000,85000,113100,112,148,312756.64869291015,0.959212222198238,-4.0787777801762015,1,TRUE
0200102,2,290000,325000,103800,111980,181,242,342261.99290922243,0.9495649728370489,-5.043502716295112,1,TRUE
0200200,2,205000,280000,75600,84000,426,539,241943.8225737607,1.1572934453188497,15.72934453188497,2,FALSE
0200300,2,213000,300000,85250,93000,253,298,251385.53272298063,1.1933860980400612,19.338609804006126,2,FALSE
0200400,2,165000,220000,56200,72800,541,387,194735.27182766105,1.1297388394779246,12.973883947792464,1,TRUE
0400100,4,210000,475000,89000,131000,278,459,247844.89141702314,1.9165212455429081,91.65212455429082,4,FALSE
0400101,4,130000,350000,63300,86500,513,655,153427.78992482385,2.2812034258688865,128.12034258688865,4,FALSE
0400102,4,150000,350000,58000,89900,394,509,177032.06529787366,1.9770429690863685,97.70429690863685,4,FALSE
0400103,4,115000,280000,55600,71490,205,249,135724.5833950365,2.063001359046645,106.30013590466451,4,FALSE
0400104,4,97000,275000,50800,60000,292,376,114480.73555929164,2.402150882910536,140.2150882910536,4,FALSE
0400105,4,199000,450000,90400,105000,414,479,234862.53996184573,1.916014363436179,91.6014363436179,4,FALSE
0400106,4,150000,350000,68200,90920,274,336,177032.06529787366,1.9770429690863685,97.70429690863685,4,FALSE
0400107,4,265000,500000,79900,120000,365,498,312756.64869291015,1.5986870369970634,59.86870369970634,4,FALSE
0400108,4,200000,400000,75000,107000,283,325,236042.75373049823,1.6946082592168872,69.46082592168872,4,FALSE
0400109,4,150000,350000,63500,80000,138,173,177032.06529787366,1.9770429690863685,97.70429690863685,4,FALSE
0400110,4,250000,550000,70000,107900,360,449,295053.4421631228,1.8640690851385757,86.40690851385757,4,FALSE
0400111,4,350000,600000,92000,120200,301,416,413074.8190283719,1.4525213650430462,45.252136504304616,3,FALSE
0400112,4,400000,600000,104000,123200,359,554,472085.50746099645,1.2709561944126655,27.09561944126655,2,FALSE
0400113,4,250000,500000,78000,105000,319,391,295053.4421631228,1.694608259216887,69.4608259216887,4,FALSE
0400114,4,150000,350000,64700,74900,284,331,177032.06529787366,1.9770429690863685,97.70429690863685,4,FALSE
0400115,4,110000,300000,53900,73200,217,246,129823.51455177403,2.3108294443866644,131.08294443866643,4,FALSE
0400116,4,150000,400000,65000,84000,223,277,177032.06529787366,2.2594776789558497,125.94776789558497,4,FALSE
0400117,4,175000,470000,57400,100000,241,277,206537.40951418594,2.2756168052341055,127.56168052341054,4,FALSE
0400118,4,125000,350000,55000,73000,162,192,147526.7210815614,2.372451562903642,137.24515629036418,4,FALSE
0400119,4,80000,275000,48200,76600,184,219,94417.10149219929,2.912607945529025,191.26079455290247,4,FALSE
0400120,4,225000,400000,89000,120000,293,354,265548.09794681054,1.5063184526372329,50.631845263723285,3,FALSE
0400121,4,90000,300000,50000,70000,214,290,106219.23917872421,2.824347098694812,182.4347098694812,4,FALSE
0400122,4,50000,250000,28800,59700,140,144,59010.688432624556,4.236520648042218,323.65206480422177,4,FALSE
0400123,4,70000,240000,41400,57600,178,180,82614.96380567439,2.905042730086092,190.5042730086092,4,FALSE
0400124,4,80000,260000,50000,70000,196,212,94417.10149219929,2.7537384212274416,175.37384212274415,4,FALSE
0400125,4,90000,275000,50000,70000,219,228,106219.23917872421,2.588984840470244,158.8984840470244,4,FALSE
0400126,4,150000,350000,73410,91700,340,375,177032.06529787366,1.9770429690863685,97.70429690863685,4,FALSE
0400127,4,148000,350000,67200,84550,322,351,174671.6377605687,2.003759765965914,100.37597659659139,4,FALSE
0400128,4,150000,350000,73300,96000,287,309,177032.06529787366,1.9770429690863685,97.70429690863685,4,FALSE
0400129,4,220000,490000,77000,122000,304,437,259647.02910354806,1.8871773795824425,88.71773795824424,4,FALSE
0400130,4,123000,250000,40000,56100,474,560,145166.29354425642,1.722162865057812,72.2162865057812,4,FALSE
0400131,4,150000,350000,64100,84900,292,395,177032.06529787366,1.9770429690863685,97.70429690863685,4,FALSE
0400132,4,200000,420000,77890,106360,230,357,236042.75373049823,1.7793386721777316,77.93386721777316,4,FALSE
0400133,4,120000,330000,64000,86000,240,262,141625.65223829894,2.33008635642322,133.008635642322,4,FALSE
0400134,4,120000,350000,55100,76600,284,423,141625.65223829894,2.4713037113579603,147.13037113579603,4,FALSE
0400201,4,100000,200000,47200,60000,297,349,118021.37686524911,1.6946082592168872,69.46082592168872,4,FALSE
0400202,4,150000,270000,62600,80100,323,411,177032.06529787366,1.5251474332951984,52.514743329519845,3,FALSE
0400203,4,190000,300000,70000,80000,373,492,224240.61604397334,1.3378486256975424,33.78486256975424,3,FALSE
0400204,4,300000,425000,90000,108950,401,490,354064.1305957473,1.200347516945295,20.034751694529508,2,FALSE
0400205,4,170000,300000,65800,87200,395,489,200636.3406709235,1.4952425816619592,49.52425816619592,3,FALSE
0400206,4,150000,250000,56000,70400,218,310,177032.06529787366,1.4121735493474061,41.21735493474061,3,FALSE
0400207,4,115000,180000,42200,52100,179,209,135724.5833950365,1.326215159387129,32.621515938712896,3,FALSE
0400208,4,75000,150000,35000,48100,232,227,88516.03264893683,1.6946082592168872,69.46082592168872,4,FALSE
0400209,4,120000,200000,52000,62000,299,355,141625.65223829894,1.412173549347406,41.21735493474059,3,FALSE
0400300,4,100000,126000,34400,49200,919,806,118021.37686524911,1.067603203306639,6.760320330663894,1,TRUE
0400400,4,200000,385000,59200,90000,428,414,236042.75373049823,1.631060449496254,63.10604494962539,4,FALSE
0400500,4,175000,325000,50600,63900,571,723,206537.40951418594,1.5735648121299668,57.35648121299668,3,FALSE
0400600,4,120000,230000,40000,52000,599,688,141625.65223829894,1.623999581749517,62.3999581749517,4,FALSE
0400700,4,110000,170000,45700,65000,542,529,129823.51455177403,1.3094700184857764,30.94700184857764,2,FALSE
0400800,4,90000,190000,44000,53470,368,389,106219.23917872421,1.7887531625067141,78.87531625067142,4,FALSE
0400803,4,110000,325000,52000,72000,300,431,129823.51455177403,2.5033985647522194,150.33985647522195,4,FALSE
0400805,4,110000,325000,48300,73000,247,265,129823.51455177403,2.5033985647522194,150.33985647522195,4,FALSE
0400807,4,110000,275000,59000,73000,342,422,129823.51455177403,2.118260324021109,111.82603240211088,4,FALSE
0400900,4,125000,187000,46630,64500,500,563,147526.7210815614,1.2675669778942316,26.756697789423157,2,FALSE
0500100,5,140000,220000,60800,88000,589,791,165229.92761134877,1.3314779179561256,33.147791795612555,3,FALSE
0500200,5,132000,219000,60000,78600,403,481,155788.21746212884,1.405754578668554,40.57545786685539,3,FALSE
0500300,5,100000,150000,35000,50990,587,619,118021.37686524911,1.2709561944126655,27.09561944126655,2,FALSE
0500400,5,80000,116000,40000,46000,544,518,94417.10149219929,1.2285909879322432,22.85909879322432,2,FALSE
0500500,5,90000,150000,50200,63700,536,566,106219.23917872421,1.412173549347406,41.21735493474059,3,FALSE
0500600,5,80000,100000,45000,51300,347,334,94417.10149219929,1.0591301620105544,5.913016201055443,1,TRUE
0500700,5,75000,80000,50000,49000,357,339,88516.03264893683,0.9037910715823398,-9.620892841766015,1,TRUE
0500800,5,100000,120000,47820,57000,385,363,118021.37686524911,1.0167649555301324,1.6764955530132353,1,TRUE
0500900,5,130000,170000,58100,73500,437,487,153427.78992482385,1.1080130925648877,10.801309256488768,1,TRUE
0501000,5,139000,175000,60000,80000,399,405,164049.71384269628,1.0667498034638678,6.674980346386783,1,TRUE
0501100,5,140000,175000,65000,72000,486,529,165229.92761134877,1.0591301620105544,5.913016201055443,1,TRUE
0501200,5,130000,200000,61000,73000,304,327,153427.78992482385,1.3035448147822208,30.354481478222084,2,FALSE
0501300,5,90000,130000,44700,52900,449,458,106219.23917872421,1.2238837427677518,22.38837427677518,2,FALSE
0501400,5,100000,140000,46300,58700,454,468,118021.37686524911,1.1862257814518211,18.62257814518211,2,FALSE
0501500,5,75000,120000,41000,58200,397,370,88516.03264893683,1.3556866073735099,35.56866073735099,3,FALSE
0501600,5,105000,150000,45000,60000,469,488,123922.44570851157,1.2104344708692052,21.04344708692052,2,FALSE
0501700,5,75000,140000,47800,65000,323,292,88516.03264893683,1.5816343752690947,58.16343752690947,3,FALSE
0501800,5,72000,100000,40140,48000,398,357,84975.39134297936,1.1768112911228383,17.681129112283834,2,FALSE
0501900,5,73000,100000,43500,53200,365,318,86155.60511163186,1.1606905885047172,16.06905885047172,2,FALSE
0502000,5,70000,115000,40630,47700,368,363,82614.96380567439,1.3919996414995859,39.19996414995859,3,FALSE
0600101,6,620000,1300000,111800,167600,311,395,731732.5365645445,1.7766054330499623,77.66054330499624,4,FALSE
0600102,6,300000,700000,75000,124200,189,257,354064.1305957473,1.9770429690863685,97.70429690863685,4,FALSE
0600103,6,600000,1200000,130000,183300,418,479,708128.2611914946,1.6946082592168872,69.46082592168872,4,FALSE
0600104,6,220000,570000,52000,79500,175,208,259647.02910354806,2.195287972167331,119.52879721673311,4,FALSE
0600105,6,400000,800000,85000,110000,333,380,472085.50746099645,1.6946082592168872,69.46082592168872,4,FALSE
0600106,6,350000,800000,85000,126640,287,345,413074.8190283719,1.9366951533907282,93.66951533907282,4,FALSE
0600107,6,300000,730000,89000,120000,312,339,354064.1305957473,2.0617733820472126,106.17733820472127,4,FALSE
