STATEFIP,income_group,mean_value_2007,mean_value_2009,mean_value_2019,mean_value_2021,median_value_2007,median_value_2009,median_value_2019,median_value_2021,n_hh_2007,n_hh_2009,n_hh_2019,n_hh_2021,pct_chg_0709,pct_chg_1921,pct_chg_0721,abs_gain_0721,recovered_07
1,High,284310.1000322685,291893.5263027877,356354.5347173756,400666.06134417735,225000,240000,275000,325000,7365,7423,6813,6869,2.667308080036027,12.43467454734235,40.92572205444081,116355.96131190885,1
1,Low,93561.11609108637,90236.97416166018,120900.82290061482,133240.94896468066,75000,65000,85000,100000,7168,7258,7278,7592,-3.552909657672286,10.206817263940302,42.41060232219121,39679.83287359429,1
1,Middle,139217.76036256703,137785.56882468497,172968.54457269856,202090.26438070502,112500,120000,150000,175000,21408,21296,21419,21480,-1.028741975271098,16.836425304929715,45.16126667631926,62872.50401813799,1
2,High,370868.57417071564,369527.013883203,423940.9302165456,448695.545442008,350000,340000,400000,400000,786,883,721,775,-0.3617346901156221,5.839166134022012,20.98505419212672,77826.97127129236,1
2,Low,195831.1219711342,182158.43542504442,215405.72537547222,219319.39760786403,187500,150000,218000,200000,1080,1049,1148,1144,-6.981876225018602,1.8168840338713899,11.99414852976843,23488.275636729813,1
2,Middle,255586.10763201487,236990.45270444275,280312.464964936,355078.8705834004,225000,230000,280000,300000,2531,2505,2414,2462,-7.275690803330194,26.672522617863905,38.927296899341734,99492.76295138555,1
4,High,491622.8200709782,419137.2721722205,500501.7464961166,641121.8957235175,450000,300000,400000,500000,9443,9105,10306,10506,-14.744138176558312,28.09583587107262,30.409303545135547,149499.07565253932,1
4,Low,191832.04098349583,157009.55110662297,200224.20396266913,251798.86813124843,162500,125000,175000,218000,9186,9041,9886,10964,-18.152593121744868,25.758456344366415,31.260068359962773,59966.8271477526,1
4,Middle,279882.77176989306,210371.77053537214,270375.89228358073,356332.48215846013,225000,180000,250000,330000,26834,26348,28842,30030,-24.835755625455118,31.79151408392757,27.31490398823853,76449.71038856707,1
5,High,247658.06572451114,242486.19330081478,307212.65700203413,353897.18267482816,187500,195000,250000,300000,4022,3977,4078,3948,-2.0883117247024883,15.19615960109512,42.89749927567264,106239.11695031702,1
5,Low,86280.6461498758,88627.4291698432,106295.89187901893,132434.74026713357,65000,65000,80000,100000,4502,4392,4429,4660,2.719941405968231,24.590647790852223,53.49298617570009,46154.09411725777,1
